mta_sort_order,planned_ada_complex_id,planned_ada_station_name,planned_ada_complex_latitude,planned_ada_complex_longitude,existing_ada_complex_id,existing_ada_stop_name,existing_ada_complex_latitude,existing_ada_complex_longitude,walking_time_sec,train_time_sec
19,608,"4 Av - 9 St Complex (2 Stations) (F, G, R lines)",40.671,-73.988,240,7 Av,40.666,-73.98,826,695
19,608,"4 Av - 9 St Complex (2 Stations) (F, G, R lines)",40.671,-73.988,617,Atlantic Av Barclays Ctr,40.684,-73.979,1402,773
19,608,"4 Av - 9 St Complex (2 Stations) (F, G, R lines)",40.671,-73.988,617,Atlantic Av Barclays Ctr,40.684,-73.979,1402,769
26,214,"182 - 183 Sts / Concourse (B, D lines)",40.856,-73.901,212,Kingsbridge Rd,40.867,-73.894,1095,762
18,86,Cypress Hills / Jamaica (J line),40.69,-73.873,,,,,,
4,80,"121 St / Jamaica (J, Z lines)",40.7,-73.828,,,,,,
9,369,Elder Av / Pelham (6 line),40.829,-73.879,,,,,,
25,443,Baychester Av / Dyre (5 line),40.879,-73.839,,,,,,
1,441,"Central Park North (110 St) / Lenox (2, 3 lines)",40.799,-73.952,310,96 St,40.794,-73.972,1763,460
1,441,"Central Park North (110 St) / Lenox (2, 3 lines)",40.799,-73.952,438,135 St,40.814,-73.941,1616,426
